==========Continuous Reception Mode Start==========
HDOK	PLOK	17472	1	1	-98	7	8	2	19	-99 -98 -99 -105 -99 -101 -98 -99 -98 -99 -100 -98 -103 -98 -98 -103 -98 -101 -99 
HDOK	PLOK	17472	2	2	-93	7	8	2	19	-92 -93 -92 -92 -92 -93 -97 -96 -97 -95 -93 -97 -92 -92 -97 -94 -92 -92 -92 
HDOK	PLOK	17472	3	3	-94	7	8	2	19	-92 -92 -92 -92 -92 -91 -97 -92 -94 -93 -92 -94 -94 -94 -95 -93 -93 -97 -94 
HDOK	PLOK	17472	4	4	-94	7	8	2	19	-94 -94 -93 -94 -94 -95 -99 -93 -95 -95 -94 -95 -94 -94 -95 -93 -94 -94 -94 
HDOK	PLOK	17472	5	5	-93	7	8	2	19	-94 -94 -94 -93 -94 -97 -99 -93 -97 -95 -93 -95 -93 -93 -97 -94 -93 -95 -93 
HDOK	PLOK	17472	6	6	-103	6	8	2	19	-99 -98 -103 -105 -101 -101 -99 -100 -100 -100 -102 -100 -105 -101 -101 -107 -102 -107 -102 
HDOK	PLOK	17472	7	7	-88	8	8	2	19	-90 -95 -90 -89 -92 -89 -90 -90 -91 -94 -88 -93 -87 -88 -93 -88 -87 -87 -91 
HDOK	PLOK	17472	8	8	-94	7	8	2	19	-94 -99 -94 -94 -95 -93 -95 -97 -97 -99 -93 -99 -93 -93 -99 -93 -93 -92 -93 
HDOK	PLOK	17472	9	9	-96	7	8	2	19	-96 -100 -95 -95 -98 -95 -97 -98 -98 -100 -95 -101 -95 -95 -100 -96 -95 -95 -96 
HDOK	PLOK	17472	10	10	-92	8	8	2	19	-93 -92 -95 -97 -92 -95 -92 -92 -91 -91 -95 -91 -97 -95 -90 -97 -91 -97 -91 
HDOK	PLOK	17472	11	11	-95	8	8	2	19	-96 -95 -95 -95 -95 -96 -100 -95 -99 -98 -95 -98 -95 -94 -99 -96 -95 -94 -100 
HDOK	PLOK	17472	12	12	-96	7	8	2	19	-98 -103 -99 -97 -100 -97 -98 -97 -97 -103 -97 -101 -96 -97 -100 -97 -96 -96 -98 
HDOK	PLOK	17472	13	13	-94	7	8	2	19	-94 -94 -99 -99 -94 -97 -93 -93 -93 -93 -97 -93 -99 -94 -93 -99 -93 -99 -94 
HDOK	PLOK	17472	14	14	-93	8	8	2	19	-93 -99 -94 -93 -95 -93 -93 -93 -94 -97 -92 -97 -93 -92 -97 -93 -93 -93 -92 
HDOK	PLOK	17472	15	15	-90	8	8	2	19	-89 -89 -89 -89 -89 -92 -95 -89 -93 -91 -89 -92 -89 -89 -92 -89 -89 -89 -89 
HDOK	PLOK	17472	16	16	-94	7	8	2	19	-94 -99 -94 -93 -95 -92 -94 -100 -95 -99 -93 -99 -92 -92 -97 -93 -93 -92 -92 
HDOK	PLOK	17472	17	17	-93	7	8	2	19	-94 -94 -99 -97 -97 -94 -92 -92 -92 -93 -94 -94 -95 -94 -93 -97 -93 -95 -99 
HDOK	PLOK	17472	18	18	-93	7	8	2	19	-93 -92 -95 -99 -93 -97 -93 -93 -92 -92 -95 -92 -97 -94 -92 -97 -92 -99 -92 
HDOK	PLOK	17472	19	19	-93	8	8	2	19	-94 -94 -97 -97 -97 -94 -92 -92 -92 -93 -94 -93 -97 -93 -92 -97 -92 -95 -92 
HDOK	PLOK	17472	20	20	-94	7	8	2	19	-93 -95 -92 -92 -94 -92 -95 -94 -97 -97 -93 -97 -92 -92 -99 -94 -92 -92 -94 
HDOK	PLOK	17472	21	21	-93	8	8	2	19	-93 -99 -93 -93 -95 -93 -93 -93 -94 -97 -93 -97 -92 -92 -97 -93 -93 -92 -92 
HDOK	PLOK	17472	22	22	-93	7	8	2	19	-93 -99 -94 -93 -95 -92 -94 -94 -95 -99 -92 -99 -100 -93 -97 -93 -92 -92 -97 
HDOK	PLOK	17472	23	23	-93	7	8	2	19	-93 -97 -99 -94 -99 -93 -93 -93 -97 -95 -93 -95 -94 -93 -94 -94 -94 -94 -97 
HDOK	PLOK	17472	24	24	-93	8	8	2	19	-94 -99 -94 -93 -95 -93 -94 -95 -95 -99 -93 -99 -93 -93 -97 -93 -93 -93 -97 
HDOK	PLOK	17472	25	25	-93	7	8	2	19	-92 -95 -94 -92 -93 -92 -97 -94 -97 -99 -93 -99 -93 -93 -99 -94 -93 -93 -94 
HDOK	PLOK	17472	26	26	-91	7	8	2	19	-91 -92 -91 -91 -92 -91 -94 -90 -95 -95 -90 -95 -90 -90 -95 -94 -90 -90 -90 
HDOK	PLOK	17472	27	27	-93	7	8	2	19	-94 -99 -97 -94 -97 -93 -93 -93 -93 -99 -93 -99 -93 -93 -97 -93 -93 -93 -93 
HDOK	PLOK	17472	28	28	-93	7	8	2	19	-93 -95 -99 -95 -99 -93 -92 -92 -93 -94 -93 -93 -95 -94 -93 -95 -94 -94 -97 
HDOK	PLOK	17472	29	29	-93	7	8	2	19	-93 -93 -92 -92 -92 -93 -99 -92 -95 -93 -93 -94 -93 -93 -94 -92 -93 -97 -92 
HDOK	PLOK	17472	30	30	-94	7	8	2	19	-93 -94 -99 -97 -97 -94 -93 -93 -92 -93 -94 -93 -95 -93 -92 -97 -92 -97 -92 
HDOK	PLOK	17472	31	31	-95	7	8	2	19	-95 -95 -100 -98 -99 -96 -94 -95 -95 -95 -96 -95 -99 -96 -95 -100 -95 -99 -95 
HDOK	PLOK	17472	32	32	-90	8	8	2	19	-89 -89 -94 -94 -91 -91 -89 -89 -89 -89 -91 -89 -94 -89 -89 -94 -89 -95 -89 
