scenario_type,condition,severity,strength,method,target_coverage,selected_packets,actual_coverage,classification_risk,topology_mae_m,severe_error_rate
artificial_perturbation,preamble_missing,level_1,1.0,Fixed fusion,0.8,103,0.8046875,0.04854368932038835,0.1964077669902913,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Fixed fusion,0.9,116,0.90625,0.0603448275862069,0.3186206896551725,0.008620689655172414
artificial_perturbation,preamble_missing,level_1,1.0,Fixed fusion,1.0,128,1.0,0.0859375,0.4450781250000001,0.0078125
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.6,77,0.6015625,0.012987012987012988,0.04402597402597403,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.8,103,0.8046875,0.038834951456310676,0.13165048543689323,0.0
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,0.9,116,0.90625,0.0603448275862069,0.29034482758620694,0.008620689655172414
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,1.0,128,1.0,0.0703125,0.34171875000000007,0.0078125
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.5,64,0.5,0.015625,0.05125000000000002,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.6,77,0.6015625,0.03896103896103896,0.13064935064935068,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.7,90,0.703125,0.05555555555555555,0.18711111111111114,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.8,103,0.8046875,0.05825242718446602,0.22825242718446606,0.0
artificial_perturbation,preamble_missing,level_2,2.0,LDA,0.9,116,0.90625,0.07758620689655173,0.346896551724138,0.008620689655172414
