==========Continuous Reception Mode Start==========
HDOK	PLOK	17472	1	1	-93	10	12	2	58	-87 -99 -87 -97 -94 -88 -95 -95 -87 -88 -88 -88 -88 -91 -88 -89 -88 -88 -94 -88 -89 -93 -89 -89 -88 -89 -89 -89 -94 -88 -88 -88 -89 -89 -94 -99 -88 -88 -89 -90 -89 -90 -88 -88 -97 -88 -89 -89 -90 -89 -88 -99 -89 -89 -89 -89 -89 -117 
HDOK	PLOK	17472	2	2	-90	8	12	2	58	-88 -88 -87 -95 -94 -88 -95 -95 -87 -87 -87 -87 -87 -89 -87 -88 -87 -86 -92 -86 -86 -91 -88 -87 -87 -88 -87 -88 -93 -87 -87 -86 -87 -87 -93 -95 -87 -87 -87 -89 -89 -88 -87 -87 -99 -89 -89 -89 -89 -88 -88 -95 -87 -87 -91 -91 -87 -118 
HDOK	PLOK	17472	3	3	-90	7	12	2	58	-87 -89 -87 -95 -94 -87 -97 -95 -88 -87 -87 -87 -87 -91 -87 -88 -86 -86 -91 -86 -85 -91 -87 -87 -86 -88 -87 -87 -92 -87 -88 -88 -88 -88 -93 -95 -87 -87 -87 -91 -88 -89 -89 -88 -97 -88 -87 -89 -89 -88 -87 -95 -87 -94 -87 -87 -93 -118 
HDOK	PLOK	17472	4	4	-94	7	12	2	58	-92 -101 -92 -100 -99 -91 -99 -98 -91 -91 -92 -92 -91 -94 -92 -93 -92 -91 -97 -90 -90 -95 -92 -91 -90 -92 -91 -91 -96 -90 -90 -89 -91 -91 -95 -99 -90 -91 -91 -94 -93 -93 -91 -91 -99 -90 -91 -91 -91 -90 -90 -99 -90 -91 -90 -90 -90 -117 
HDOK	PLOK	17472	5	5	-90	7	12	2	58	-87 -105 -87 -97 -94 -88 -97 -95 -87 -87 -88 -88 -87 -91 -87 -89 -87 -88 -93 -88 -87 -93 -89 -88 -87 -88 -88 -88 -93 -87 -87 -87 -88 -88 -93 -97 -87 -87 -88 -89 -89 -89 -87 -87 -97 -87 -87 -89 -89 -88 -88 -97 -88 -88 -93 -87 -99 -116 
HDOK	PLOK	17472	6	6	-90	8	12	2	58	-89 -91 -89 -99 -95 -89 -97 -97 -89 -89 -89 -89 -89 -92 -89 -90 -89 -89 -95 -89 -89 -93 -90 -89 -89 -90 -89 -89 -95 -89 -89 -89 -89 -90 -94 -99 -89 -88 -88 -91 -90 -90 -89 -88 -97 -88 -89 -89 -89 -88 -87 -97 -88 -95 -89 -91 -94 -116 
HDOK	PLOK	17472	7	7	-91	6	12	2	58	-87 -93 -87 -97 -95 -88 -97 -97 -87 -87 -87 -88 -88 -91 -89 -89 -88 -88 -93 -88 -88 -94 -89 -89 -88 -89 -88 -88 -93 -87 -87 -88 -88 -89 -94 -95 -88 -87 -87 -89 -87 -87 -87 -87 -95 -87 -88 -89 -89 -88 -87 -97 -87 -87 -93 -87 -87 -118 
HDOK	PLOK	17472	8	8	-92	7	12	2	58	-88 -103 -87 -97 -95 -88 -97 -95 -88 -88 -89 -88 -89 -91 -89 -90 -89 -89 -95 -89 -89 -93 -90 -89 -88 -89 -88 -88 -94 -88 -88 -88 -89 -90 -94 -99 -89 -89 -89 -90 -90 -89 -87 -88 -95 -88 -87 -89 -89 -88 -88 -97 -88 -89 -88 -89 -88 -117 
HDOK	PLOK	17472	9	9	-91	7	12	2	58	-94 -96 -94 -101 -103 -92 -101 -99 -91 -90 -90 -90 -90 -94 -90 -93 -90 -92 -96 -92 -91 -97 -93 -92 -89 -90 -89 -89 -92 -88 -88 -87 -87 -88 -94 -94 -87 -88 -88 -92 -89 -89 -89 -89 -97 -89 -88 -89 -89 -89 -87 -97 -89 -92 -91 -93 -93 -117 
HDOK	PLOK	17472	10	10	-90	7	12	2	58	-87 -88 -87 -95 -94 -87 -95 -95 -87 -87 -87 -87 -87 -89 -88 -89 -87 -88 -93 -87 -88 -93 -89 -88 -88 -89 -88 -88 -93 -88 -88 -88 -88 -88 -93 -95 -87 -88 -87 -89 -88 -88 -87 -87 -97 -87 -87 -89 -89 -88 -87 -97 -87 -95 -88 -87 -97 -117 
HDOK	PLOK	17472	11	11	-91	6	12	2	58	-89 -90 -89 -99 -97 -90 -99 -99 -91 -91 -92 -91 -91 -93 -90 -91 -90 -89 -95 -89 -88 -92 -89 -88 -88 -89 -88 -88 -94 -87 -88 -88 -89 -89 -93 -95 -87 -88 -88 -89 -89 -89 -87 -87 -97 -87 -88 -88 -88 -88 -87 -94 -87 -87 -91 -87 -87 -118 
HDOK	PLOK	17472	12	12	-89	6	12	2	58	-88 -95 -87 -95 -94 -88 -95 -94 -87 -87 -87 -87 -87 -89 -87 -88 -87 -87 -94 -88 -87 -91 -88 -87 -87 -88 -87 -87 -93 -87 -87 -87 -89 -88 -91 -97 -87 -87 -87 -89 -94 -89 -87 -87 -95 -87 -87 -88 -88 -87 -87 -94 -87 -87 -93 -87 -91 -118 
HDOK	PLOK	17472	13	13	-91	7	12	2	58	-87 -99 -87 -95 -94 -87 -95 -94 -87 -87 -87 -87 -87 -89 -87 -88 -87 -87 -94 -86 -87 -91 -88 -87 -87 -88 -87 -87 -93 -87 -87 -87 -89 -89 -91 -95 -87 -87 -87 -89 -92 -89 -87 -87 -95 -87 -87 -88 -88 -87 -87 -94 -87 -88 -87 -92 -87 -117 
HDOK	PLOK	17472	14	14	-91	6	12	2	58	-87 -91 -87 -94 -95 -87 -97 -95 -87 -87 -88 -87 -87 -91 -87 -88 -87 -87 -92 -87 -87 -91 -88 -88 -87 -88 -87 -87 -92 -87 -87 -87 -87 -88 -93 -95 -87 -87 -87 -89 -88 -88 -87 -87 -97 -87 -88 -88 -88 -87 -87 -95 -87 -87 -91 -87 -87 -116 
HDOK	PLOK	17472	15	15	-90	6	12	2	58	-87 -88 -87 -95 -94 -87 -95 -94 -87 -88 -87 -87 -88 -91 -88 -88 -87 -87 -94 -88 -88 -91 -89 -88 -88 -88 -87 -87 -94 -87 -87 -88 -89 -89 -93 -97 -87 -87 -88 -89 -96 -89 -87 -87 -95 -87 -87 -88 -88 -87 -87 -94 -88 -93 -87 -88 -87 -116 
HDOK	PLOK	17472	16	16	-91	6	12	2	58	-88 -95 -87 -97 -94 -87 -97 -94 -87 -87 -87 -87 -87 -89 -87 -88 -87 -87 -94 -88 -87 -93 -88 -88 -88 -89 -88 -87 -94 -87 -87 -87 -89 -89 -92 -95 -88 -87 -87 -89 -89 -88 -87 -87 -95 -86 -87 -88 -88 -88 -87 -95 -88 -88 -87 -93 -88 -117 
HDOK	PLOK	17472	17	17	-90	8	12	2	58	-89 -96 -87 -97 -95 -88 -97 -97 -87 -87 -88 -87 -88 -91 -88 -89 -88 -88 -93 -88 -88 -92 -89 -88 -88 -89 -88 -88 -93 -87 -87 -88 -89 -89 -93 -97 -87 -87 -87 -91 -90 -89 -87 -87 -99 -87 -88 -88 -89 -89 -87 -95 -88 -88 -94 -88 -92 -116 
HDOK	PLOK	17472	18	18	-90	6	12	2	58	-87 -93 -87 -97 -95 -88 -95 -97 -88 -88 -87 -88 -87 -91 -88 -89 -88 -88 -93 -87 -87 -93 -89 -88 -88 -88 -88 -88 -93 -87 -88 -87 -88 -89 -93 -97 -87 -87 -87 -89 -89 -89 -88 -87 -97 -87 -88 -88 -89 -88 -88 -95 -88 -94 -87 -88 -88 -115 
HDOK	PLOK	17472	19	19	-91	6	12	2	58	-89 -91 -87 -97 -95 -87 -97 -97 -87 -88 -87 -88 -88 -91 -88 -89 -88 -88 -93 -88 -88 -93 -89 -88 -88 -88 -88 -88 -93 -88 -87 -87 -89 -89 -93 -95 -87 -87 -87 -89 -89 -89 -87 -87 -97 -88 -87 -88 -89 -88 -87 -95 -88 -87 -91 -87 -88 -116 
HDOK	PLOK	17472	20	20	-103	7	12	2	58	-98 -111 -98 -107 -105 -99 -107 -106 -99 -98 -99 -98 -98 -101 -99 -100 -99 -100 -106 -98 -99 -105 -101 -100 -100 -101 -100 -100 -106 -101 -101 -101 -105 -102 -105 -111 -101 -101 -102 -103 -109 -103 -101 -101 -109 -101 -101 -101 -101 -101 -100 -107 -101 -101 -109 -102 -101 -117 
